key,value
context_row,"{'date': '2025-10-10', 'dow': 'Fri', 'event': '', 'gap_pct': '0.08', 'prior_ret': '-0.28', 'prior_range': '0.72', 'prior2_ret': '0.58', 'vix_prior': '16.43', 'vix_chg': '0.13', 'em_pts': '69.7', 'cr_eodic_c': '0.0', 'cr_eodic_p': '0.25', 'ic_pnl': '-2835.0', 'fly_pnl': '-1128.0', 'puts_band_pnl': '0.0', 'next_ret': '1.56'}"
ic_vix252_rows,"[{'date': '2025-10-10', 'strat': 'eodic_p', 'method': 'vix252', 'center': '6735.11', 'em': '69.7', 'short_k': '6665.0', 'long_k': '6640.0', 'credit': '0.25', 'exit_kind': 'stop', 'exit_val': '14.6', 'pnl': '-1441.52', 'note': ''}, {'date': '2025-10-10', 'strat': 'eodic_c', 'method': 'vix252', 'center': '6735.11', 'em': '69.7', 'short_k': '6805.0', 'long_k': '6830.0', 'credit': '0.0', 'exit_kind': 'settle', 'exit_val': '0.0', 'pnl': '-3.26', 'note': ''}, {'date': '2025-10-10', 'strat': 'openic_p', 'method': 'vix252', 'center': '6740.49', 'em': '69.7', 'short_k': '6670.0', 'long_k': '6645.0', 'credit': '0.2', 'exit_kind': 'stop', 'exit_val': '14.0', 'pnl': '-1386.52', 'note': ''}, {'date': '2025-10-10', 'strat': 'openic_c', 'method': 'vix252', 'center': '6740.49', 'em': '69.7', 'short_k': '6810.0', 'long_k': '6835.0', 'credit': '0.0', 'exit_kind': 'settle', 'exit_val': '0.0', 'pnl': '-3.26', 'note': ''}]"
fly_rows,"[{'date': '2025-10-10', 'strat': 'eodfly_p', 'center': '6735.11', 'short_k': '6735.0', 'long_k': '6710.0', 'credit': '4.9', 'exit_kind': 'stop', 'exit_val': '18.8', 'pnl': '-1396.52', 'note': ''}, {'date': '2025-10-10', 'strat': 'eodfly_c', 'center': '6735.11', 'short_k': '6735.0', 'long_k': '6760.0', 'credit': '12.3', 'exit_kind': 'stop', 'exit_val': '17.7', 'pnl': '-546.52', 'note': ''}, {'date': '2025-10-10', 'strat': 'openfly_p', 'center': '6748.65', 'short_k': '6750.0', 'long_k': '6725.0', 'credit': '6.8', 'exit_kind': 'stop', 'exit_val': '6.7', 'pnl': '3.48', 'note': ''}, {'date': '2025-10-10', 'strat': 'openfly_c', 'center': '6748.65', 'short_k': '6750.0', 'long_k': '6775.0', 'credit': '8.15', 'exit_kind': 'settle', 'exit_val': '0.0', 'pnl': '811.74', 'note': ''}]"
vix_ohlc_1010,open 16.36 / high 22.44 / close 21.66 (data/vix_daily.csv)
cause,"10:57 a.m. ET Trump Truth Social: China 'very hostile' on rare earths, 'no reason' to meet Xi, threatens 'massive increase of tariffs'; after the close: 100% tariff on Chinese imports (eff. Nov 1) + software export controls. SPX -2.7% to 6,552, worst day since April; ~$2T market cap erased; Nasdaq -3.6%."
overnight,Quiet. Gap +0.08%; futures slightly up premarket near record highs; no US data (shutdown day 10); UMich 10:00 ET a non-event (55.0).
prior_days,"Oct 8 SPX/Nasdaq record closing highs; Oct 9 -0.28% mild fade. China MOFCOM Announcement No.61 (rare-earth controls, 12 of 17 elements, FDPR) published Oct 9 and NOT priced by equities; White House response pending."
aftermath,"Snap-back: Sunday Trump 'Don't worry about China'; Mon 10/13 SPX +1.56% to 6,654.72 (56% retrace, biggest gain since May); next_ret in ctx = 1.56."
detectable_0830ct,"NO on the numbers: VIX prior close 16.43 / +0.13 chg, gap +0.08%, flat put credit 0.25 on a 69.7pt-EM condor, no scheduled event. Only qualitative tell: China's biggest-ever rare-earth escalation was 24h old with no US response yet — pure headline-pending risk. Call-side credit 0.00 (dead call skew at ATH) was the one structural oddity."
classification,"GENUINE INTRADAY AMBUSH — quiet open, single social-media post at 09:57 CT; VIX open 16.36 -> high 22.44 same day."
