field,value
date,2022-11-08
weekday,Tuesday
scheduled_event,US midterm elections (all-day; results overnight); NFIB small-biz index; NOT in econ_calendar (event col empty)
gap_pct,0.27
prior_ret,0.96
prior2_ret,1.36
vix_prior,24.35
vix_chg,-0.2
em_pts,58.4
spx_open,3817.02
spx_high,3859.4
spx_low,3786.28
spx_close,3828.11
high_vs_priorclose_pct,1.38
low_vs_priorclose_pct,-0.54
close_vs_priorclose_pct,0.56
day_range_pts,73.12
day_range_pct,1.92
range_vs_em,1.25
fly_center,3805.0
excursion_above_center_pts,54.4
excursion_below_center_pts,18.72
ic_pnl_vix252_sum,216.96
fly_pnl_sum,-2046.08
fly_stops,eodfly_p short3805.0 cr6.2 stop@14.7 pnl-856.52; eodfly_c short3805.0 cr11.8 stop@12.5 pnl-76.52; openfly_p short3815.0 cr8.8 stop@16.8 pnl-806.52; openfly_c short3815.0 cr7.5 stop@10.5 pnl-306.52
cause,"Midterm Election Day morning drift-up (+1.4% to 3859) reversed hard early afternoon when Binance's non-binding LOI to acquire FTX (~11-12 ET, after FTX halted withdrawals that morning) confirmed FTX insolvency; BTC -11% to $17.3k, ETH -16%; SPX slid to 3786 (-0.5%) then bounced to close +0.56%. Both fly halves (short 3805) stopped by the up-then-down sweep."
overnight,"Quiet: futures modestly higher (SPX +0.36% premkt), Nikkei +1.3% (BOJ hold), Shanghai/HangSeng ~flat, Europe muted; gap only +0.27%. FTT token crashing and FTX withdrawal-halt reports were in crypto headlines premarket."
prior_days,"3-day equity rally into midterms (Nov 4 +1.36% post-NFP, Nov 7 +0.96%), VIX drifting down 24s. Crypto tension building publicly: Nov 2 CoinDesk Alameda balance-sheet story, Nov 6 CZ announces FTT dump, Nov 7-8 FTT collapse - visible in crypto, absent from equity vol."
aftermath,"Nov 9: Binance walks away, FTX insolvent, indecisive midterms -> SPX -2.08% (VIX +1.19 to 25.54). Nov 10: soft CPI -> SPX +5.54%. No multi-day premium-killer; the whipsaw was event-driven and resolved."
detectable_by_0830ct,"NO (mechanically). Gap +0.27%, VIX 24.35 falling, 3-day up tape, credits normal-thin (eodic 0.9c/0.65p on EM 58.4 - low but above gate). Soft flags only: (1) midterm Election Day missing from event calendar - election days carry known afternoon/overnight repositioning risk; (2) FTX withdrawal halt + FTT crash in premarket headlines - crypto-contagion tail risk not priced in VIX."
verdict,"Genuine intraday ambush with a quiet open: scheduled-political-event drift up, then an unscheduled credit-event headline (FTX-Binance LOI) mid-session produced a 1.9% up-then-down sweep (1.25x EM) through the ATM strike, stopping all four fly halves. IC vix252 (wings at EM) survived and settled positive (+217)."
sources,cnbc.com 2022/11/08 markets wrap; coindesk.com FTX-Binance LOI 2022-11-08 + collapse timeline; schaeffersresearch.com premarket 2022-11-08; malaymail/Reuters wrap 2022-11-09; cointelegraph Binance LOI; local spx_daily_ohlc.csv
