section,key,value
finding,cause,"FOMC hawkish hold, Kevin Warsh's FIRST meeting as Fed chair: rate held 3.50-3.75% but statement dramatically shortened with easing bias removed; SEP dot plot flipped - median 2026 EOY 3.8% vs 3.4% in March, 9/19 members see at least one HIKE in 2026. 2yr yield +~11bp. SPX -1.21% to 7420.10, worst first-Fed-day for a new chair since 1994; losses steepened during/after the 13:30 CT presser (price stability emphasis)."
finding,overnight,"Nothing. Futures flat premarket (SPX/NDX near flatline, Dow +47); no data prints or news before 08:30 CT; everyone waiting on 13:00 CT Fed decision."
finding,prior_days,"Opposite of tension: euphoric. Mon 6/15 +1.65% (US-Iran war-end deal, oil to 3-mo low ~$80, SpaceX post-IPO surge, best Nasdaq day since 3/31). Tue 6/16 mixed: Dow RECORD high +0.64% (crossed 52,000 intraday), SPX -0.57%. VIX 16.41 into the event, +0.21 on the day - complacent."
finding,aftermath,"Snap-back next day: Thu 6/18 gap +0.91%, SPX +1.08% to 7500.58, Nasdaq +1.91% on Intel-Apple chip deal (INTC +10.6%); narrow chip-led leadership. VIX had risen +2.03 to 18.44 on FOMC day. No continuation."
finding,backtest_damage,"Entry ref 7511.35 (EOD) / 7524.5 (open). ALL put wings stopped (short 7435-7475 across methods, exits 14-18); ALL call wings settled worthless. SPX closed 7420.10, 15pts through the vix252 short put. ic_pnl -2695, fly_pnl -566, puts_band_pnl -2943 (context row; fly row sum matches -566, task brief said -640)."
finding,observable_0830ct,"CALENDAR ONLY: (1) FOMC decision day - known for months; (2) not just any FOMC: quarterly SEP/dot-plot meeting AND the first meeting + presser of a brand-new Fed chair (maximum reaction-function uncertainty); (3) EM 77.6 pts = 1.03% vs realized -1.21% - move exceeded EM; (4) credits 1.7c/1.6p, richer than the surrounding non-event days (6/16: 0.45/0.5) - the market WAS charging event premium; (5) tape itself gave nothing: gap +0.18%, VIX 16.41 +0.21, futures flat."
finding,verdict,"Scheduled-event ambush, not a news surprise. Quiet open by design (market pinned ahead of 13:00 CT), all damage after the Fed release/presser. A mechanical system could NOT have seen it in the tape but COULD have seen it in the calendar: FOMC+SEP+new-chair-debut is a skip/size-down/close-before-14ET candidate."
context_row,2026-06-15,date=2026-06-15|dow=Mon|event=|gap_pct=1.15|prior_ret=0.5|prior_range=1.26|prior2_ret=1.75|vix_prior=17.68|vix_chg=-1.76|em_pts=82.8|cr_eodic_c=15.3|cr_eodic_p=0.05|ic_pnl=-86.0|fly_pnl=-693.0|puts_band_pnl=0.0|next_ret=-0.57
context_row,2026-06-16,date=2026-06-16|dow=Tue|event=|gap_pct=-0.07|prior_ret=1.65|prior_range=0.81|prior2_ret=0.5|vix_prior=16.2|vix_chg=-1.48|em_pts=77.1|cr_eodic_c=0.45|cr_eodic_p=0.5|ic_pnl=122.0|fly_pnl=-233.0|puts_band_pnl=47.0|next_ret=-1.21
context_row,2026-06-17,date=2026-06-17|dow=Wed|event=FOMC|gap_pct=0.18|prior_ret=-0.57|prior_range=0.75|prior2_ret=1.65|vix_prior=16.41|vix_chg=0.21|em_pts=77.6|cr_eodic_c=1.7|cr_eodic_p=1.6|ic_pnl=-2695.0|fly_pnl=-566.0|puts_band_pnl=-2943.0|next_ret=1.08
