date,pb_source,putWall,callWall,current,emLower,emUpper,r1,r2,s1,s2,scenario,scen_name,trigger_text,bias_text,trig_kind,trig_level,structure,target1,target2,trig_lo,trig_hi,short_hint
2026-04-06,ai,6500.0,6800.0,6583.0,,,6605.0,6635.0,6550.0,6524.0,primary,Bullish Gap Continuation,Holding > 6550 (S1) with push toward 6605 (R1),"Negative gamma amplifies upside momentum off the overnight gap. Deploy a bull call debit spread targeting R1 at 6605, with a secondary target at R2 6635. Keep risk defined; size conservatively given VIX at 24.91.",above,6550.0,bull_call_debit,6605.0,,,,
2026-04-06,ai,6500.0,6800.0,6583.0,,,6605.0,6635.0,6550.0,6524.0,alternative,Gap Fill Breakdown,"Break < 6550 (S1) confirms reversal, accelerates toward 6524 (S2) or Put Wall 6500","If gap fills and S1 at 6550 breaks, negative gamma dealers chase downside aggressively. Pivot to a bear put debit spread targeting 6524 then 6500. Avoid fighting momentum — do not fade the breakdown.",below,6550.0,bear_put_debit,6524.0,6500.0,,,
2026-04-06,ai,6500.0,6800.0,6583.0,,,6605.0,6635.0,6550.0,6524.0,neutral,Rangebound Chop,ES oscillates between Put Wall 6500 and Call Wall 6800 without sustained directional commitment beyond R1 6605 or S1 6550,"If price stalls and churns between 6500 and 6800 without breaking S1 or R1, deploy an iron condor with short strikes at 6500 put side and 6800 call side. Collect premium in elevated VIX environment while defined risk caps exposure to gap-and-reverse tail risk.",between,,iron_condor,,,6500.0,6800.0,6500.0
2026-04-07,ai,6500.0,6800.0,6612.0,,,6631.0,6680.0,6504.0,6426.0,primary,Bullish Gap Continuation,Holding > 6631.0 after 08:30 ET Durable Goods data resolves,"WAIT for 08:30 ET Durable Goods release before entry. In negative gamma, dealers must chase upside through R1 (6631) toward R2 (6680) and potentially Call Wall (6800). Structure a bull call debit spread targeting 6680-6800 range, or a call vertical with short strike at 6800.",above,6631.0,bull_call_debit,6680.0,,,,6800.0
2026-04-07,ai,6500.0,6800.0,6612.0,,,6631.0,6680.0,6504.0,6426.0,alternative,Gap Fill Breakdown,Break < 6504.0 (Vol Expansion) after 08:30 ET data resolves,"WAIT for 08:30 ET Durable Goods release before entry. If S1 (6504) fails, negative gamma amplifies downside toward Put Wall (6500) and expected move low (6506). Structure a bear put debit spread with long put near 6504 and short put at 6426 (S2).",below,6504.0,bear_put_debit,6500.0,,,,
2026-04-07,ai,6500.0,6800.0,6612.0,,,6631.0,6680.0,6504.0,6426.0,neutral,Rangebound Chop,Contained between 6500.0 and 6800.0 after 08:30 ET data resolves,"WAIT for 08:30 ET Durable Goods release before entry. If price oscillates inside Put Wall (6500) to Call Wall (6800) without conviction, deploy an iron condor with short strikes at S1 (6504) and R2 (6680), using defined-risk wings for protection against negative gamma spikes.",between,,iron_condor,,,6500.0,6800.0,
2026-04-08,ai,6600.0,6800.0,6617.0,,,6627.0,6642.0,6588.0,6565.0,primary,Bullish Gap Continuation,Holding > 6600 (Put Wall) after FOMC Minutes at 14:00 ET confirms no hawkish shock,"WAIT for FOMC Minutes before entry. Post-14:00 confirmation above 6600 targets R1 at 6627 then R2 at 6642. Use bull call debit spreads (e.g., 6620/6660) or call vertical to define risk into upside expected move reach of 6703.",above,6600.0,bull_call_debit,6627.0,6642.0,,,
2026-04-08,ai,6600.0,6800.0,6617.0,,,6627.0,6642.0,6588.0,6565.0,alternative,Breakdown Reversal,Break < 6600 (Put Wall) sustained post-FOMC Minutes (14:00 ET),"WAIT for FOMC Minutes before entry. A close or sustained trade below 6600 in negative gamma triggers dealer-amplified selling toward S1 at 6588 and S2 at 6565. Use bear put debit spreads (e.g., 6590/6550) to capture downside with defined risk.",below,6600.0,bear_put_debit,6588.0,,,,
2026-04-08,ai,6600.0,6800.0,6617.0,,,6627.0,6642.0,6588.0,6565.0,neutral,Rangebound FOMC Chop,ES futures oscillate between 6600 (Put Wall) and 6800 (Call Wall) without decisive break post-14:00 ET,"WAIT for FOMC Minutes before entry. If price remains pinned near 6617 with no breakout or breakdown, deploy an iron condor with short strikes near 6588 (S1) and 6642 (R2), capturing premium while negative gamma volatility remains contained intraday.",between,,iron_condor,,,6600.0,6800.0,6588.0
2026-04-09,ai,6700.0,7000.0,6783.0,,,6645.0,6674.0,6562.0,6506.0,primary,Gap Fill Fade,"Rejection < 6783 after 08:30 ET PCE release, fading toward 6700.0",WAIT for PCE data before entry. Post-catalyst bear call spread (6874/6950) or put debit spread targeting 6700.0 if price rolls over; positive gamma dampens upside extension.,below,6783.0,bear_put_debit,6700.0,,,,
